Entrada,Salida,Customer,Project,Activity,Description,socio,Duration
2017-12-29 15:35:00,2017-12-29 16:30:00,Bitson,Bitson,Gestión Comercial,Edición presupuesto ortopedia con @nespino y @marcosdmyr. Asistencia @malecuervo retiros semanales. Revisión demo Andes.,lcolombo,0 days 00:55:00.000000000
2017-12-29 15:16:00,2017-12-29 15:37:00,Aptage,Aptage,Operativo,,nespino,0 days 00:21:00.000000000
2017-12-29 15:00:00,2017-12-29 15:55:00,Bitson,Bitson,Gestión Interna,transferencias retiros semanales,acuervo,0 days 00:55:00.000000000
2017-12-29 14:10:00,2017-12-29 15:35:00,Bitson,Bitson,Gestión Comercial,Presupuesto ecommerce ortopedia. Edición. Asistencia @malecuervo con retiros semanales.,lcolombo,0 days 01:25:00.000000000
2017-12-29 14:06:00,2017-12-29 15:16:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 01:10:00.000000000
2017-12-29 14:00:00,2017-12-29 16:30:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 02:30:00.000000000
2017-12-29 13:23:00,2017-12-29 14:02:00,Andes Líneas Aéreas,Andes,Desarrollo,,nespino,0 days 00:39:00.000000000
2017-12-29 13:15:00,2017-12-29 15:00:00,Bitson,Bitson,Capacitación,landing bitson,acuervo,0 days 01:45:00.000000000
2017-12-29 13:10:00,2017-12-29 13:23:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:13:00.000000000
2017-12-29 12:10:00,2017-12-29 12:55:00,Bitson,Bitson,Capacitación,landing bitson,acuervo,0 days 00:45:00.000000000
2017-12-29 12:05:00,2017-12-29 12:55:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:50:00.000000000
2017-12-29 11:30:00,2017-12-29 12:05:00,Bitson,Bitson,Gestión operativa,Búsqueda de versiones viejas de la placa bitson.,lcolombo,0 days 00:35:00.000000000
2017-12-29 11:30:00,2017-12-29 13:30:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 02:00:00.000000000
2017-12-29 11:29:00,2017-12-29 12:05:00,Andes Líneas Aéreas,Andes,Desarrollo,,nespino,0 days 00:36:00.000000000
2017-12-29 11:05:00,2017-12-29 11:28:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:23:00.000000000
2017-12-29 10:30:00,2017-12-29 11:30:00,Bitson,Bitson,Presupuesto,,mmesmer,0 days 01:00:00.000000000
2017-12-29 10:30:00,2017-12-29 16:30:00,Andes Líneas Aéreas,Andes,Desarrollo,,abrunacci,0 days 06:00:00.000000000
2017-12-29 10:20:00,2017-12-29 12:10:00,Bitson,Bitson,Capacitación,"envio mailchimp
landing",acuervo,0 days 01:50:00.000000000
2017-12-29 10:15:00,2017-12-29 11:30:00,Bitson,Bitson,Gestión Comercial,"Edición de presupuesto Ojumble, sugerencias de @nespino y @marcosdmyr. Update HubSpot. Envío de presupuesto.",lcolombo,0 days 01:15:00.000000000
2017-12-29 09:43:00,2017-12-29 10:20:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:37:00.000000000
2017-12-29 09:43:00,2017-12-29 09:43:00,Aptage,Aptage,Operativo,,nespino,0 days 00:00:00.000000000
2017-12-29 08:00:00,2017-12-29 16:00:00,Andes Líneas Aéreas,Andes,Desarrollo,,ddebonis,0 days 08:00:00.000000000
2017-12-28 23:15:00,2017-12-29 02:05:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 02:50:00.000000000
2017-12-28 22:30:00,2017-12-29 07:30:00,Andes Líneas Aéreas,Andes,Desarrollo,,abrunacci,0 days 09:00:00.000000000
2017-12-28 18:30:00,2017-12-28 20:30:00,Bitson,Bitson,Gestión Comercial,Presupuesto Ojumble,lcolombo,0 days 02:00:00.000000000
2017-12-28 16:40:00,2017-12-28 17:40:00,Aptage,Aptage,Operativo,,nespino,0 days 01:00:00.000000000
2017-12-28 16:30:00,2017-12-28 16:55:00,Bitson,Bitson,Capacitación,modificacion planilla retiro (NE),acuervo,0 days 00:25:00.000000000
2017-12-28 16:30:00,2017-12-28 18:00:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 01:30:00.000000000
2017-12-28 15:51:00,2017-12-28 16:40:00,Bitson,Bitson,Presupuesto,,nespino,0 days 00:49:00.000000000
2017-12-28 15:30:00,2017-12-28 16:30:00,Bitson,Bitson,Presupuesto,,mmesmer,0 days 01:00:00.000000000
2017-12-28 15:21:00,2017-12-28 15:51:00,Aptage,Aptage,Operativo,,nespino,0 days 00:30:00.000000000
2017-12-28 15:10:00,2017-12-28 15:50:00,Bitson,Bitson,Gestión Interna,Coordinación de pendientes con Male.,lcolombo,0 days 00:40:00.000000000
2017-12-28 15:05:00,2017-12-28 15:21:00,Bitson,Bitson,Presupuesto,,nespino,0 days 00:16:00.000000000
2017-12-28 15:00:00,2017-12-28 15:10:00,SanyoJafep,Magento SanyoJafep,Gestión Comercial,Edición propuesta mantenimiento Magento.,lcolombo,0 days 00:10:00.000000000
2017-12-28 14:55:00,2017-12-28 16:30:00,Bitson,Bitson,Capacitación,"-landing ingles
-programación publicaciones cursos
",acuervo,0 days 01:35:00.000000000
2017-12-28 14:43:00,2017-12-28 15:05:00,Bitson,Bitson,Capacitación,Capacit,nespino,0 days 00:22:00.000000000
2017-12-28 14:40:00,2017-12-28 14:55:00,Bitson,Bitson,Reunion,Reunion Tole,acuervo,0 days 00:15:00.000000000
2017-12-28 14:30:00,2017-12-28 15:00:00,Bitson,Bitson,Gestión Interna,Charla con Tole,lcolombo,0 days 00:30:00.000000000
2017-12-28 14:10:00,2017-12-28 14:30:00,SanyoJafep,Magento SanyoJafep,Gestión Comercial,"Preparación documento presupuesto Mantenimiento primer semestre 2018
",lcolombo,0 days 00:20:00.000000000
2017-12-28 13:30:00,2017-12-28 14:40:00,Bitson,Bitson,Capacitación,-landing bitson-ingles,acuervo,0 days 01:10:00.000000000
2017-12-28 13:30:00,2017-12-28 15:30:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 02:00:00.000000000
2017-12-28 13:03:00,2017-12-28 14:43:00,Aptage,Aptage,Operativo,,nespino,0 days 01:40:00.000000000
2017-12-28 13:00:00,2017-12-28 13:15:00,Bitson,Bitson,Gestión Comercial,Actualización plantilla OTs.,lcolombo,0 days 00:15:00.000000000
2017-12-28 12:13:00,2017-12-28 13:03:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:50:00.000000000
2017-12-28 11:45:00,2017-12-28 12:45:00,Bitson,Bitson,Capacitación,back-up,acuervo,0 days 01:00:00.000000000
2017-12-28 11:38:00,2017-12-28 12:13:00,Bitson,Bitson,Presupuesto,,nespino,0 days 00:35:00.000000000
2017-12-28 11:30:00,2017-12-28 12:10:00,Bitson,Bitson,Gestión Comercial,Videocall para presupuestos ortopedia mendoza y ojumble.,lcolombo,0 days 00:40:00.000000000
2017-12-28 11:30:00,2017-12-28 12:45:00,Bitson,Bitson,Presupuesto,,mmesmer,0 days 01:15:00.000000000
2017-12-28 11:20:00,2017-12-28 11:45:00,Bitson,Bitson,Capacitación,track horas semanales,acuervo,0 days 00:25:00.000000000
2017-12-28 11:00:00,2017-12-28 11:15:00,Bitson,Bitson,Gestión Interna,Coordinación con @malecuervo,lcolombo,0 days 00:15:00.000000000
2017-12-28 11:00:00,2017-12-28 16:00:00,Andes Líneas Aéreas,Andes,Desarrollo,,ddebonis,0 days 05:00:00.000000000
2017-12-28 10:30:00,2017-12-28 11:30:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 01:00:00.000000000
2017-12-28 10:11:00,2017-12-28 16:00:00,Bitson,Bitson,Reunion,,abrunacci,0 days 05:49:00.000000000
2017-12-28 10:00:00,2017-12-28 11:20:00,Bitson,Bitson,Capacitación,"-seguimiento hp partner
-coordinar visita oficina salta",acuervo,0 days 01:20:00.000000000
2017-12-28 09:12:00,2017-12-28 10:05:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:53:00.000000000
2017-12-27 20:40:00,2017-12-27 21:05:00,Bitson,Bitson,Gestión Comercial,Update HubSpot Germán Szapiro. OT89.,lcolombo,0 days 00:25:00.000000000
2017-12-27 18:47:00,2017-12-27 19:39:00,Aptage,Aptage,Operativo,,nespino,0 days 00:52:00.000000000
2017-12-27 18:00:00,2017-12-27 20:40:00,Bitson,Bitson,Gestión Comercial,Charla con Germán Szapino.,lcolombo,0 days 02:40:00.000000000
2017-12-27 15:40:00,2017-12-27 16:10:00,Bitson,Bitson,Gestión Comercial,"Actualización HubSpot
",lcolombo,0 days 00:30:00.000000000
2017-12-27 15:34:00,2017-12-27 18:27:00,Aptage,Aptage,Operativo,,nespino,0 days 02:53:00.000000000
2017-12-27 15:30:00,2017-12-27 17:00:00,Bitson,Bitson,Capacitación,"hp partner (sin solucion)
landing(datalles)",acuervo,0 days 01:30:00.000000000
2017-12-27 15:18:00,2017-12-27 15:34:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:16:00.000000000
2017-12-27 14:53:00,2017-12-27 15:18:00,Bitson,Bitson,Gestión Interna,,nespino,0 days 00:25:00.000000000
2017-12-27 14:50:00,2017-12-27 15:40:00,Bitson,Bitson,Gestión Comercial,Charla con Daiana Santangelo x ecommerce ortopedia en Mendoza. Update en HubSpot.,lcolombo,0 days 00:50:00.000000000
2017-12-27 14:40:00,2017-12-27 14:50:00,Bitson,Bitson,Gestión Interna,Charla con @nespino sobre minutas.,lcolombo,0 days 00:10:00.000000000
2017-12-27 13:30:00,2017-12-27 15:30:00,Bitson,Bitson,Capacitación,landing cursos/ busqueda oficinas ,acuervo,0 days 02:00:00.000000000
2017-12-27 13:30:00,2017-12-27 18:00:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 04:30:00.000000000
2017-12-27 11:00:00,2017-12-27 14:53:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 03:53:00.000000000
2017-12-27 10:30:00,2017-12-27 13:00:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 02:30:00.000000000
2017-12-27 10:30:00,2017-12-27 16:00:00,Andes Líneas Aéreas,Andes,Desarrollo,,abrunacci,0 days 05:30:00.000000000
2017-12-27 10:00:00,2017-12-27 13:00:00,Bitson,Bitson,Capacitación,"-Concretar visitas a las oficinas
-Check transferencias
-Check Mailchimp
-Intento retiro linea 1
-Landing detalles",acuervo,0 days 03:00:00.000000000
2017-12-27 10:00:00,2017-12-27 16:00:00,Andes Líneas Aéreas,Andes,Desarrollo,,ddebonis,0 days 06:00:00.000000000
2017-12-27 09:30:00,2017-12-27 13:15:00,Bitson,Bitson,Gestión Comercial,Actualización HubSpot. Revisión de tareas pendientes. Respuestas mails. Contactos posibles negocios.,lcolombo,0 days 03:45:00.000000000
2017-12-26 17:30:00,2017-12-26 20:11:00,Aptage,Aptage,Operativo,,nespino,0 days 02:41:00.000000000
2017-12-26 16:17:00,2017-12-26 17:30:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 01:13:00.000000000
2017-12-26 16:17:00,2017-12-26 16:17:00,Aptage,Aptage,Operativo,,nespino,0 days 00:00:00.000000000
2017-12-26 15:04:00,2017-12-26 16:17:00,Aptage,Aptage,Operativo,,nespino,0 days 01:13:00.000000000
2017-12-26 15:00:00,2017-12-26 18:30:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 03:30:00.000000000
2017-12-26 14:43:00,2017-12-26 15:04:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:21:00.000000000
2017-12-26 14:14:00,2017-12-26 14:43:00,Aptage,Aptage,Operativo,,nespino,0 days 00:29:00.000000000
2017-12-26 13:37:00,2017-12-26 14:14:00,Aptage,Aptage,Operativo,,nespino,0 days 00:37:00.000000000
2017-12-26 13:00:00,2017-12-26 15:00:00,Bitson,Kairos,Desarrollo,,mmesmer,0 days 02:00:00.000000000
2017-12-26 12:50:00,2017-12-26 16:10:00,Bitson,Bitson,Capacitación,concretar vistas a oficinas/  envio mailchimp ,acuervo,0 days 03:20:00.000000000
2017-12-26 12:45:00,2017-12-26 13:26:00,Aptage,Aptage,Operativo,,nespino,0 days 00:41:00.000000000
2017-12-26 12:30:00,2017-12-26 15:00:00,Andes Líneas Aéreas,Andes,Desarrollo,,ddebonis,0 days 02:30:00.000000000
2017-12-26 12:30:00,2017-12-26 17:00:00,Andes Líneas Aéreas,Andes,Desarrollo,,abrunacci,0 days 04:30:00.000000000
2017-12-26 10:50:00,2017-12-26 12:20:00,Bitson,Bitson,Reunion,,acuervo,0 days 01:30:00.000000000
2017-12-26 10:50:00,2017-12-26 12:30:00,Bitson,Bitson,Reunion,,ddebonis,0 days 01:40:00.000000000
2017-12-26 10:45:00,2017-12-26 12:30:00,Bitson,Bitson,Reunion,,mmesmer,0 days 01:45:00.000000000
2017-12-26 10:45:00,2017-12-26 12:30:00,Bitson,Bitson,Reunion,Reunión semanal. Acuerdos sobre oficinas. Pre-selección anuncios de oficinas.,lcolombo,0 days 01:45:00.000000000
2017-12-26 10:45:00,2017-12-26 12:30:00,Bitson,Bitson,Reunion,,abrunacci,0 days 01:45:00.000000000
2017-12-26 10:30:00,2017-12-26 12:30:00,Bitson,Bitson,Gestión Interna,,nespino,0 days 02:00:00.000000000
2017-12-26 10:00:00,2017-12-26 10:50:00,Bitson,Bitson,Capacitación,mailchimp,acuervo,0 days 00:50:00.000000000
2017-12-26 10:00:00,2017-12-26 10:45:00,Bitson,Bitson,Gestión Interna,Charla con @ddebonis.,lcolombo,0 days 00:45:00.000000000
2017-12-26 09:30:00,2017-12-26 10:00:00,Bitson,Bitson,Gestión Interna,Preparación reunión semanal.,lcolombo,0 days 00:30:00.000000000
2017-12-26 08:00:00,2017-12-26 10:50:00,Andes Líneas Aéreas,Andes,Desarrollo,,ddebonis,0 days 02:50:00.000000000
2017-12-25 10:00:00,2017-12-25 17:00:00,Bitson,Bitson,FERIADO,,ddebonis,0 days 07:00:00.000000000
2017-12-22 17:04:00,2017-12-22 17:40:00,Aptage,Aptage,Operativo,,nespino,0 days 00:36:00.000000000
2017-12-22 17:00:00,2017-12-22 17:30:00,Bitson,Bitson,Gestión Interna,Charla con Lean y Marcos sobre proyecto de hormigonera,hbrunacci,0 days 00:30:00.000000000
2017-12-22 17:00:00,2017-12-22 17:30:00,Bitson,Bitson,Gestión Interna,,mmesmer,0 days 00:30:00.000000000
2017-12-22 16:45:00,2017-12-22 17:04:00,Bitson,Bitson,Presupuesto,,nespino,0 days 00:19:00.000000000
2017-12-22 16:00:00,2017-12-22 18:00:00,Bitson,Bitson,Gestión Interna,Conexión beagle display 16x2. Revisión conexión HDMI beagle. Update proyecto hormigonera a @marcosdmyr y @hbrunacci,lcolombo,0 days 02:00:00.000000000
2017-12-22 15:30:00,2017-12-22 17:00:00,Bitson,Kairos,Desarrollo,,mmesmer,0 days 01:30:00.000000000
2017-12-22 15:00:00,2017-12-22 16:45:00,Bitson,Bitson,Gestión Comercial,Reunion con PK,hbrunacci,0 days 01:45:00.000000000
2017-12-22 14:32:00,2017-12-22 16:45:00,Aptage,Aptage,Operativo,,nespino,0 days 02:13:00.000000000
2017-12-22 13:43:00,2017-12-22 14:32:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:49:00.000000000
2017-12-22 13:40:00,2017-12-22 17:30:00,Bitson,Bitson,Capacitación,instalacion keeweb/ agrego landing boton pago,acuervo,0 days 03:50:00.000000000
2017-12-22 13:25:00,2017-12-22 13:40:00,Bitson,Bitson,Capacitación,reenvió de mensaje para recordar la oferta de inscripción al curso python.,acuervo,0 days 00:15:00.000000000
2017-12-22 13:20:00,2017-12-22 15:00:00,Bitson,Bitson,Gestión Comercial,Documento para Qualia,hbrunacci,0 days 01:40:00.000000000
2017-12-22 12:00:00,2017-12-22 15:30:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 03:30:00.000000000
2017-12-22 11:00:00,2017-12-22 12:55:00,Bitson,Bitson,Capacitación,"ver tareas administrativas con Ceci,(verificar carpetas, revisar traqueo de horas para retiros semanales y mensuales,retiro de linea 1(sin exito))",acuervo,0 days 01:55:00.000000000
2017-12-22 10:59:00,2017-12-22 13:20:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 02:21:00.000000000
2017-12-22 10:30:00,2017-12-22 17:30:00,Andes Líneas Aéreas,Andes,Desarrollo,,abrunacci,0 days 07:00:00.000000000
2017-12-22 10:00:00,2017-12-22 13:50:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 03:50:00.000000000
2017-12-22 10:00:00,2017-12-22 11:00:00,Bitson,Bitson,Capacitación,landing,acuervo,0 days 01:00:00.000000000
2017-12-22 08:00:00,2017-12-22 15:00:00,Andes Líneas Aéreas,Andes,Desarrollo,,ddebonis,0 days 07:00:00.000000000
2017-12-21 18:57:00,2017-12-21 20:46:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 01:49:00.000000000
2017-12-21 17:00:00,2017-12-21 18:00:00,Bitson,Bitson,Intercooperativo,FActtic,hbrunacci,0 days 01:00:00.000000000
2017-12-21 14:30:00,2017-12-21 18:00:00,ECSA,Beagle SCA,Desarrollo,,mmesmer,0 days 03:30:00.000000000
2017-12-21 14:25:00,2017-12-21 17:33:00,Aptage,Aptage,Operativo,,nespino,0 days 03:08:00.000000000
2017-12-21 14:00:00,2017-12-21 16:00:00,Andes Líneas Aéreas,Andes,Reunion,Demo Sprint 3,lcolombo,0 days 02:00:00.000000000
2017-12-21 14:00:00,2017-12-21 16:00:00,Andes Líneas Aéreas,Andes,Reunion,,ddebonis,0 days 02:00:00.000000000
2017-12-21 14:00:00,2017-12-21 16:00:00,Andes Líneas Aéreas,Andes,Demo,demo,abrunacci,0 days 02:00:00.000000000
2017-12-21 13:30:00,2017-12-21 17:00:00,Bitson,Bitson,Gestión Interna,"Armado de cables para display Beagle
charla con Anabel de Emetech",hbrunacci,0 days 03:30:00.000000000
2017-12-21 10:30:00,2017-12-21 14:00:00,Bitson,Kairos,Desarrollo,,mmesmer,0 days 03:30:00.000000000
2017-12-21 10:10:00,2017-12-21 14:24:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 04:14:00.000000000
2017-12-21 10:00:00,2017-12-21 13:02:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 03:02:00.000000000
2017-12-21 10:00:00,2017-12-21 10:30:00,Bitson,Bitson,Gestión Interna,compra de display,hbrunacci,0 days 00:30:00.000000000
2017-12-21 10:00:00,2017-12-21 12:00:00,ECSA,Servidores,Gestión Comercial,Cotización detallada Salas Audiencia CBA.,lcolombo,0 days 02:00:00.000000000
2017-12-21 09:30:00,2017-12-21 12:30:00,Andes Líneas Aéreas,Andes,DevOps,Deploy,abrunacci,0 days 03:00:00.000000000
2017-12-21 08:00:00,2017-12-21 14:00:00,Andes Líneas Aéreas,Andes,Desarrollo,,ddebonis,0 days 06:00:00.000000000
2017-12-20 11:00:00,2017-12-20 18:00:00,Bitson,Bitson,Gestión Interna,Transformación bitson,lcolombo,0 days 07:00:00.000000000
2017-12-20 11:00:00,2017-12-20 18:30:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 07:30:00.000000000
2017-12-20 11:00:00,2017-12-20 18:00:00,Bitson,Bitson,Capacitación,,hbrunacci,0 days 07:00:00.000000000
2017-12-20 10:30:00,2017-12-20 18:30:00,Bitson,Bitson,Capacitación,,nespino,0 days 08:00:00.000000000
2017-12-20 10:10:00,2017-12-20 18:00:00,Bitson,Bitson,Reunion,Capacitacion TOLE,abrunacci,0 days 07:50:00.000000000
2017-12-20 10:00:00,2017-12-20 18:00:00,Bitson,Bitson,Capacitación,capacitacion Tole,acuervo,0 days 08:00:00.000000000
2017-12-20 10:00:00,2017-12-20 18:00:00,Bitson,Bitson,Capacitación,,mmesmer,0 days 08:00:00.000000000
2017-12-20 00:29:00,2017-12-20 03:12:00,Aptage,Aptage,Operativo,,nespino,0 days 02:43:00.000000000
2017-12-19 23:35:00,2017-12-20 01:26:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 01:51:00.000000000
2017-12-19 20:44:00,2017-12-19 22:32:00,Aptage,Aptage,Operativo,,nespino,0 days 01:48:00.000000000
2017-12-19 20:30:00,2017-12-19 22:00:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 01:30:00.000000000
2017-12-19 19:15:00,2017-12-19 22:45:00,ECSA,Servidores,Gestión Comercial,Cotización Venta de Equipos para Salas de Audiencia del Poder Judicial de Cördoba.,lcolombo,0 days 03:30:00.000000000
2017-12-19 18:25:00,2017-12-19 20:25:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 02:00:00.000000000
2017-12-19 18:00:00,2017-12-19 18:37:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 00:37:00.000000000
2017-12-19 16:00:00,2017-12-19 18:00:00,Bitson,Kairos,Gestión Comercial,"Reunión con @skajms y @marcosdmyr en Devecoop planificación de features, flyer y responsabilidades.",lcolombo,0 days 02:00:00.000000000
2017-12-19 14:35:00,2017-12-19 17:40:00,Aptage,Aptage,Operativo,,nespino,0 days 03:05:00.000000000
2017-12-19 14:30:00,2017-12-19 18:00:00,Bitson,Kairos,Desarrollo,,mmesmer,0 days 03:30:00.000000000
2017-12-19 14:23:00,2017-12-19 14:35:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:12:00.000000000
2017-12-19 14:00:00,2017-12-19 15:00:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 01:00:00.000000000
2017-12-19 14:00:00,2017-12-19 15:00:00,Bitson,Bitson,Reunion,"Reunión con @santichola, @cuberti y @malecuervo x Administración 2018.",lcolombo,0 days 01:00:00.000000000
2017-12-19 11:45:00,2017-12-19 13:30:00,Bitson,Bitson,Capacitación,landing,acuervo,0 days 01:45:00.000000000
2017-12-19 11:00:00,2017-12-19 13:30:00,Bitson,Kairos,Desarrollo,,mmesmer,0 days 02:30:00.000000000
2017-12-19 10:15:00,2017-12-19 13:41:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 03:26:00.000000000
2017-12-19 10:00:00,2017-12-19 10:15:00,Bitson,Bitson,Gestión Interna,Planificación semanal,lcolombo,0 days 00:15:00.000000000
2017-12-19 10:00:00,2017-12-19 11:25:00,Bitson,Bitson,Capacitación,landing cambios urgentes,acuervo,0 days 01:25:00.000000000
2017-12-19 10:00:00,2017-12-19 17:00:00,Andes Líneas Aéreas,Andes,Desarrollo,,ddebonis,0 days 07:00:00.000000000
2017-12-19 10:00:00,2017-12-19 17:30:00,Andes Líneas Aéreas,Andes,Desarrollo,,abrunacci,0 days 07:30:00.000000000
2017-12-19 09:30:00,2017-12-19 12:31:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 03:01:00.000000000
2017-12-19 08:45:00,2017-12-19 10:00:00,Bitson,Bitson,Gestión Interna,tarea de responsabilidad.,lcolombo,0 days 01:15:00.000000000
2017-12-19 01:48:00,2017-12-19 02:12:00,Aptage,Aptage,Operativo,,nespino,0 days 00:24:00.000000000
2017-12-19 01:23:00,2017-12-19 01:47:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 00:24:00.000000000
2017-12-18 23:42:00,2017-12-19 00:51:00,Aptage,Aptage,Operativo,,nespino,0 days 01:09:00.000000000
2017-12-18 23:24:00,2017-12-18 23:40:00,Bitson,Bitson,Presupuesto,,nespino,0 days 00:16:00.000000000
2017-12-18 19:30:00,2017-12-18 22:00:00,Bitson,Kairos,Desarrollo,,mmesmer,0 days 02:30:00.000000000
2017-12-18 16:49:00,2017-12-18 20:05:00,INFD,INFD (Ministerio de Educación),Operativo,,nespino,0 days 03:16:00.000000000
2017-12-18 16:30:00,2017-12-18 17:42:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 01:12:00.000000000
2017-12-18 16:30:00,2017-12-18 18:00:00,Bitson,Bitson,Gestión Comercial,Venta de equipos ECSA (Taborda). ,lcolombo,0 days 01:30:00.000000000
2017-12-18 14:00:00,2017-12-18 16:10:00,Bitson,Bitson,Gestión Interna,,cuberti,0 days 02:10:00.000000000
2017-12-18 14:00:00,2017-12-18 16:25:00,Bitson,Bitson,Gestión Interna,,nespino,0 days 02:25:00.000000000
2017-12-18 14:00:00,2017-12-18 16:30:00,Bitson,Bitson,Reunion,Reunión semanal,lcolombo,0 days 02:30:00.000000000
2017-12-18 14:00:00,2017-12-18 16:15:00,Bitson,Bitson,Reunion,,acuervo,0 days 02:15:00.000000000
2017-12-18 14:00:00,2017-12-18 16:00:00,Bitson,Bitson,Gestión Interna,,ddebonis,0 days 02:00:00.000000000
2017-12-18 14:00:00,2017-12-18 16:20:00,Bitson,Bitson,Reunion,,hbrunacci,0 days 02:20:00.000000000
2017-12-18 14:00:00,2017-12-18 16:30:00,Bitson,Bitson,Reunion,,mmesmer,0 days 02:30:00.000000000
2017-12-18 14:00:00,2017-12-18 16:30:00,Bitson,Bitson,Reunion,,abrunacci,0 days 02:30:00.000000000
2017-12-18 12:30:00,2017-12-18 12:40:00,Bitson,Bitson,Gestión Interna,,nespino,0 days 00:10:00.000000000
