,Entrada,Salida,Customer,Project,Activity,Description,Comentario,socio,Duration
0,2017-08-04 16:05:00,2017-08-04 19:20:00,Aptage,Aptage,Operativo,,,nespino,195.0
1,2017-08-04 15:30:00,2017-08-04 16:00:00,Bitson,Bitson,Capacitación,,,ddebonis,30.0
2,2017-08-04 15:30:00,2017-08-04 17:15:00,Bitson,Bitson,Gestión Interna,Configuración i3 con @ddebonis.,,lcolombo,105.0
3,2017-08-04 14:30:00,2017-08-04 15:30:00,Bitson,Bitson,Gestión Interna,Reunion manos a la obra,,ddebonis,60.0
4,2017-08-04 14:30:00,2017-08-04 15:30:00,Bitson,Bitson,Gestión Interna,Firma convenio MDS.,,lcolombo,60.0
5,2017-08-04 13:45:00,2017-08-04 14:30:00,Bitson,Bitson,Gestión Interna,"Organización tareas Banfield, Comunicación y Redes sociales.",,lcolombo,45.0
6,2017-08-04 13:45:00,2017-08-04 15:45:00,Bitson,Bitson,Gestión Comercial,,,hbrunacci,120.0
7,2017-08-04 13:41:00,2017-08-04 15:47:00,Aptage,Aptage,Operativo,,,nespino,126.0
8,2017-08-04 13:30:00,2017-08-04 14:30:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
9,2017-08-04 10:45:00,2017-08-04 11:25:00,Bitson,Bitson,Gestión Interna,Organización comunicación con @cuberti. ,,lcolombo,40.0
10,2017-08-04 10:30:00,2017-08-04 17:30:00,Bitson,Bitson,Operativo,,,abrunacci,420.0
11,2017-08-04 10:00:00,2017-08-04 14:15:00,Bitson,Bitson,Gestión Interna,,,cuberti,255.0
12,2017-08-04 08:00:00,2017-08-04 13:30:00,Bitson,Bitson,Capacitación,,,ddebonis,330.0
13,2017-08-03 15:37:00,2017-08-03 18:19:00,Aptage,Aptage,Operativo,,,nespino,162.0
14,2017-08-03 15:05:00,2017-08-03 15:37:00,Bitson,Bitson,Gestión Interna,,,nespino,32.0
15,2017-08-03 15:00:00,2017-08-03 16:30:00,Bitson,Bitson,Capacitación,,,ddebonis,90.0
16,2017-08-03 14:00:00,2017-08-03 15:00:00,Bitson,Bitson,Desarrollo,Geminis,,ddebonis,60.0
17,2017-08-03 14:00:00,2017-08-03 18:00:00,Bitson,Bitson,Intercooperativo,Reunión en Devecoop por Kairós y estrategias comerciales.,,lcolombo,240.0
18,2017-08-03 13:00:00,2017-08-03 14:00:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
19,2017-08-03 10:50:00,2017-08-03 15:00:00,Bitson,Bitson,Gestión Interna,,,cuberti,250.0
20,2017-08-03 10:15:00,2017-08-03 17:01:00,Bitson,Bitson,Capacitación,"html(javaScript)
cuando me canso paso a:css 
cuando me canso intento instalar paquetes OBVIAMENTE con la terminal!!! 
:)",,acuervo,406.0
21,2017-08-03 10:00:00,2017-08-03 13:00:00,Bitson,Bitson,Capacitación,,,ddebonis,180.0
22,2017-08-03 10:00:00,2017-08-03 18:00:00,Bitson,Bitson,Operativo,"SCA DASHBOARD
Reunion Bitson
SCA DASHBOARD",,abrunacci,480.0
23,2017-08-03 10:00:00,2017-08-03 15:45:00,Bitson,Bitson,Gestión Comercial,reunion devecoop,,hbrunacci,345.0
24,2017-08-02 19:48:00,2017-08-02 20:25:00,Aptage,Aptage,Operativo,,,nespino,37.0
25,2017-08-02 16:00:00,2017-08-02 17:00:00,Bitson,Bitson,Capacitación,,,ddebonis,60.0
26,2017-08-02 15:51:00,2017-08-02 17:40:00,Aptage,Aptage,Operativo,,,nespino,109.0
27,2017-08-02 15:45:00,2017-08-02 18:00:00,Bitson,Bitson,Orden/Limpieza,Organización espacio de trabajo @acuervo.,,lcolombo,135.0
28,2017-08-02 14:30:00,2017-08-02 16:00:00,Bitson,Bitson,Gestión Interna,Reunion semanal,,ddebonis,90.0
29,2017-08-02 14:10:00,2017-08-02 15:45:00,Bitson,Bitson,Reunion,Charla sobre tareas y responsabilidades de cada uno.,,lcolombo,95.0
30,2017-08-02 14:06:00,2017-08-02 15:51:00,Bitson,Bitson,Gestión Interna,,,nespino,105.0
31,2017-08-02 13:40:00,2017-08-02 14:10:00,Bitson,Bitson,Orden/Limpieza,Orden estantería,,lcolombo,30.0
32,2017-08-02 13:30:00,2017-08-02 14:30:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
33,2017-08-02 12:00:00,2017-08-02 13:30:00,Bitson,Bitson,Operativo,Buscar servidor de ECSA a microglobal,,ddebonis,90.0
34,2017-08-02 11:15:00,2017-08-02 15:00:00,Bitson,Bitson,Gestión Interna,,,cuberti,225.0
35,2017-08-02 11:00:00,2017-08-02 11:45:00,Bitson,Bitson,Gestión Interna,Mail a cooperativa por RO. Asistencia instalación TeamViewer @abrunacci.,,lcolombo,45.0
36,2017-08-02 10:30:00,2017-08-02 12:00:00,Bitson,Bitson,Desarrollo,Geminis,,ddebonis,90.0
37,2017-08-02 10:15:00,2017-08-02 17:33:00,Bitson,Bitson,Capacitación,html/css ,,acuervo,438.0
38,2017-08-02 10:00:00,2017-08-02 11:00:00,ECSA,Sigas SCA,Operativo,Revisión importador La Renga.,,lcolombo,60.0
39,2017-08-02 10:00:00,2017-08-02 18:30:00,Bitson,Bitson,Operativo,"BEAGLE
Reunion Bitson
SCA",,abrunacci,510.0
40,2017-08-02 10:00:00,2017-08-02 15:45:00,Bitson,Bitson,Gestión Comercial,,,hbrunacci,345.0
41,2017-08-01 17:15:00,2017-08-01 17:45:00,ECSA,Beagle SCA,Operativo,Revisión de código con @abrunacci.,,lcolombo,30.0
42,2017-08-01 16:00:00,2017-08-01 17:30:00,Bitson,Bitson,Gestión Interna,Reunion Geminis,,ddebonis,90.0
43,2017-08-01 16:00:00,2017-08-01 17:15:00,Bitson,Bitson,Reunion,Reunión con GEMINIS,,lcolombo,75.0
44,2017-08-01 15:35:00,2017-08-01 16:00:00,ECSA,Beagle SCA,Operativo,Setup environment con @abrunacci,,lcolombo,25.0
45,2017-08-01 15:30:00,2017-08-01 15:35:00,ECSA,Servidores,Presupuesto,Compra Lenovo TS-150 en microglobal. @cuberti gestión de pago.,,lcolombo,5.0
46,2017-08-01 15:15:00,2017-08-01 15:30:00,Bitson,Bitson,Gestión Interna,Pago de servidores OVH con @cuberti.,,lcolombo,15.0
47,2017-08-01 15:00:00,2017-08-01 16:00:00,Bitson,Bitson,Capacitación,,,ddebonis,60.0
48,2017-08-01 15:00:00,2017-08-01 15:15:00,SanyoJafep,Magento SanyoJafep,Operativo,Actualización certificados SSL.,,lcolombo,15.0
49,2017-08-01 14:05:00,2017-08-01 17:06:00,Aptage,Aptage,Operativo,,,nespino,181.0
50,2017-08-01 14:00:00,2017-08-01 15:00:00,Bitson,Bitson,Gestión Interna,Reunion con Pablo,,ddebonis,60.0
51,2017-08-01 13:45:00,2017-08-01 15:00:00,Bitson,Bitson,Gestión Interna,Organización con @cuberti. Facturación mensual. Pagos y proyección financiera. Reunión con @pablo.godoy.,,lcolombo,75.0
52,2017-08-01 13:30:00,2017-08-01 14:05:00,Bitson,Bitson,Capacitación,AngularAnimations,,nespino,35.0
53,2017-08-01 13:15:00,2017-08-01 17:48:00,Bitson,Bitson,Gestión Interna,,,cuberti,273.0
54,2017-08-01 13:00:00,2017-08-01 14:00:00,Bitson,Bitson,Capacitación,,,ddebonis,60.0
55,2017-08-01 12:00:00,2017-08-01 13:00:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
56,2017-08-01 10:00:00,2017-08-01 16:00:00,Bitson,Bitson,Capacitación,html / css ,,acuervo,360.0
57,2017-08-01 10:00:00,2017-08-01 18:30:00,Bitson,Bitson,Operativo,"Beagle
SCA
REunion Pablo
Reunion Geminis",,abrunacci,510.0
58,2017-08-01 08:46:00,2017-08-01 09:46:00,Bitson,Bitson,Gestión Interna,,,cuberti,60.0
59,2017-08-01 08:00:00,2017-08-01 12:00:00,Bitson,Bitson,Capacitación,,,ddebonis,240.0
60,2017-07-31 19:06:00,2017-07-31 20:01:00,Aptage,Aptage,Operativo,,,nespino,55.0
61,2017-07-31 17:25:00,2017-07-31 18:00:00,ECSA,Sigas SCA,Operativo,Instalación en modo producción SIGAS SCA. Supervisor + Nginx.,,lcolombo,35.0
62,2017-07-31 17:00:00,2017-07-31 17:25:00,Bitson,Bitson,Gestión Interna,Alta de mail acuervo@bitson.com.ar. Alta en la lista de trabajos. Alta en owncloud.,,lcolombo,25.0
63,2017-07-31 16:50:00,2017-07-31 18:49:00,Aptage,Aptage,Operativo,,,nespino,119.0
64,2017-07-31 16:30:00,2017-07-31 17:00:00,ECSA,Sigas SCA,Operativo,Update en CONTRIBUTING.md,,lcolombo,30.0
65,2017-07-31 15:20:00,2017-07-31 16:30:00,ECSA,Sigas SCA,Operativo,Revisión instalación desde 0 en VAGRANT. Fix in backend.py,,lcolombo,70.0
66,2017-07-31 14:38:00,2017-07-31 15:45:00,Aptage,Aptage,Operativo,,,nespino,67.0
67,2017-07-31 14:20:00,2017-07-31 15:20:00,Bitson,Bitson,Operativo,Actualización máquinas @hbrunacci y @cuberti.,,lcolombo,60.0
68,2017-07-31 14:00:00,2017-07-31 15:30:00,ECSA,Sigas SCA,Desarrollo,Failover,,ddebonis,90.0
69,2017-07-31 13:45:00,2017-07-31 14:20:00,Bitson,Bitson,Gestión Interna,Organización semanal con @cuberti. Control contable y financiero.,,lcolombo,35.0
70,2017-07-31 13:00:00,2017-07-31 14:00:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
71,2017-07-31 12:00:00,2017-07-31 16:00:00,Bitson,Bitson,Capacitación,,,acuervo,240.0
72,2017-07-31 10:00:00,2017-07-31 11:52:00,Bitson,Bitson,Capacitación,instalacion so,,acuervo,112.0
73,2017-07-31 09:40:00,2017-07-31 14:20:00,Bitson,Bitson,Gestión Interna,,,cuberti,280.0
74,2017-07-31 09:00:00,2017-07-31 11:00:00,Bitson,Bitson,Gestión Interna,Organización interna con @cuberti y @ddebonis. Respuesta mails. Tareas @acuervo.,,lcolombo,120.0
75,2017-07-31 08:00:00,2017-07-31 13:00:00,ECSA,Sigas SCA,Presupuesto,Failover frontend,,ddebonis,300.0
76,2017-07-29 21:00:00,2017-07-29 22:00:00,ECSA,Sigas SCA,Soporte Remoto,,,nespino,60.0
77,2017-07-28 23:30:00,2017-07-28 01:00:00,ECSA,Sigas SCA,Operativo,Fix Dashboard totales.,,lcolombo,-1350.0
78,2017-07-28 17:30:00,2017-07-28 18:30:00,ECSA,Sigas SCA,Instalación,Revisión de instalación desde 0.,,lcolombo,60.0
79,2017-07-28 15:00:00,2017-07-28 17:00:00,Bitson,Bitson,Intercooperativo,FIT,,lcolombo,120.0
80,2017-07-28 14:00:00,2017-07-28 15:00:00,ECSA,Sigas SCA,Operativo,Fix en Dashboard totales para @hbrunacci en Huracán.,,lcolombo,60.0
81,2017-07-28 13:00:00,2017-07-28 16:00:00,Bitson,Cromi,Testing,,,ddebonis,180.0
82,2017-07-28 12:30:00,2017-07-28 14:00:00,Bitson,Bitson,Operativo,Creando el paquete flask_btsn_auth_api,,lcolombo,90.0
83,2017-07-28 12:00:00,2017-07-28 13:00:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
84,2017-07-28 11:30:00,2017-07-28 11:30:00,Bitson,Bitson,Operativo,Creando el paquete flask_btsn_auth_api,,lcolombo,0.0
85,2017-07-28 11:20:00,2017-07-28 13:30:00,Bitson,Bitson,Gestión Interna,,,cuberti,130.0
86,2017-07-28 11:00:00,2017-07-28 18:45:00,Bitson,Bitson,Operativo,,,hbrunacci,465.0
87,2017-07-28 10:00:00,2017-07-28 12:00:00,Bitson,Bitson,Desarrollo,,,ddebonis,120.0
88,2017-07-28 08:00:00,2017-07-28 12:30:00,Bitson,Bitson,Operativo,,,abrunacci,270.0
89,2017-07-27 17:23:00,2017-07-27 18:20:00,Aptage,Aptage,Operativo,,,nespino,57.0
90,2017-07-27 16:00:00,2017-07-27 17:30:00,ECSA,Sigas SCA,Presupuesto,Failover flow con @abrunacci y @ddebonis.,,lcolombo,90.0
91,2017-07-27 15:00:00,2017-07-27 17:30:00,ECSA,Sigas SCA,Reunion,Failover,,ddebonis,150.0
92,2017-07-27 14:30:00,2017-07-27 16:00:00,Bitson,Bitson,Operativo,Levantando vieja máquina de cise. http://old.cise.bitson.com.ar,,lcolombo,90.0
93,2017-07-27 14:15:00,2017-07-27 17:10:00,Aptage,Aptage,Operativo,,,nespino,175.0
94,2017-07-27 14:00:00,2017-07-27 18:30:00,Bitson,Bitson,Gestión Comercial,,,hbrunacci,270.0
95,2017-07-27 13:30:00,2017-07-27 15:00:00,Bitson,Bitson,Capacitación,,,ddebonis,90.0
96,2017-07-27 12:30:00,2017-07-27 13:30:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
97,2017-07-27 11:00:00,2017-07-27 11:30:00,Bitson,Bitson,Operativo,Subiendo paquetes a PyPI,,lcolombo,30.0
98,2017-07-27 10:00:00,2017-07-27 18:30:00,Bitson,Bitson,Operativo,,,abrunacci,510.0
99,2017-07-27 08:00:00,2017-07-27 12:30:00,Bitson,Bitson,Capacitación,,,ddebonis,270.0
100,2017-07-26 23:00:00,2017-07-26 01:30:00,Bitson,Bitson,Gestión Comercial,Instalación de moodle para CISE. 2 intentos fallidos con docker. 1 intento exitoso con el docker compose de bitnami.,,lcolombo,-1290.0
101,2017-07-26 20:25:00,2017-07-26 21:39:00,Aptage,Aptage,Operativo,,,nespino,74.0
102,2017-07-26 18:00:00,2017-07-26 20:00:00,Bitson,Bitson,Operativo,Alta PowerDNS con PostgreSQL y conexión como SLAVE.,,lcolombo,120.0
103,2017-07-26 17:30:00,2017-07-26 18:00:00,Bitson,Bitson,Operativo,Troubleshooting CISE con @abrunacci.,,lcolombo,30.0
104,2017-07-26 17:00:00,2017-07-26 17:30:00,Bitson,Bitson,Gestión Interna,Charla con @hbrunacci x Tótem y cobro de Devecoop. Estrategia Tótem (pasos a seguir). Revisión estrategia comercial de Silver Rabbit.,,lcolombo,30.0
105,2017-07-26 16:50:00,2017-07-26 19:30:00,Aptage,Aptage,Operativo,,,nespino,160.0
106,2017-07-26 15:30:00,2017-07-26 17:00:00,Bitson,Bitson,Gestión Interna,Reunion con Tole,,ddebonis,90.0
107,2017-07-26 15:30:00,2017-07-26 17:00:00,Bitson,Bitson,Reunion,con Tole.,,lcolombo,90.0
108,2017-07-26 15:18:00,2017-07-26 16:50:00,Bitson,Bitson,Capacitación,,,nespino,92.0
109,2017-07-26 15:00:00,2017-07-26 15:30:00,Bitson,Bitson,Gestión Interna,Organización interna: consultas @abrunacci x Banfield. @hbrunacci implementación Dashboard.,,lcolombo,30.0
110,2017-07-26 14:45:00,2017-07-26 15:00:00,Bitson,Bitson,Gestión Interna,Setup oficina.,,lcolombo,15.0
111,2017-07-26 14:00:00,2017-07-26 15:30:00,Bitson,Bitson,Desarrollo,Refactor SCA,,ddebonis,90.0
112,2017-07-26 13:30:00,2017-07-26 16:40:00,Bitson,Bitson,Gestión Comercial,,,hbrunacci,190.0
113,2017-07-26 13:00:00,2017-07-26 14:00:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
114,2017-07-26 13:00:00,2017-07-26 15:18:00,Aptage,Aptage,Operativo,,,nespino,138.0
115,2017-07-26 13:00:00,2017-07-26 18:30:00,Bitson,Bitson,Operativo,,,abrunacci,330.0
116,2017-07-26 12:15:00,2017-07-26 12:45:00,Bitson,Bitson,Operativo,Subiendo paquete con PyPI,,lcolombo,30.0
117,2017-07-26 11:30:00,2017-07-26 12:15:00,Bitson,Bitson,Operativo,Arreglando el SGS en la VM de prueba. (Configuración de Nginx con PHP),,lcolombo,45.0
118,2017-07-26 09:00:00,2017-07-26 13:00:00,ECSA,Sigas SGS,Testing,Pruebas de error de nueva implementacion en nueva ip,,ddebonis,240.0
119,2017-07-25 22:00:00,2017-07-25 23:30:00,Bitson,Bitson,Operativo,Configuración de PowerDNS en ns3.bitson.com.ar,,lcolombo,90.0
120,2017-07-25 18:00:00,2017-07-25 20:00:00,Bitson,Bitson,Operativo,Instalación de PowerDNS con PostgreSQL fallida. Instalación de PowerDNS con MySQL y Front PowerDNSAdmin.,,lcolombo,120.0
121,2017-07-25 17:30:00,2017-07-25 18:00:00,Bitson,Bitson,Operativo,Intentando levantar el SGS Front en Vagrant.,,lcolombo,30.0
122,2017-07-25 16:30:00,2017-07-25 17:30:00,Bitson,Bitson,Operativo,Levantando server en Digital Ocean: ns3 == black-fox,,lcolombo,60.0
123,2017-07-25 15:15:00,2017-07-25 16:15:00,Bitson,Bitson,Gestión Comercial,,,hbrunacci,60.0
124,2017-07-25 14:30:00,2017-07-25 16:30:00,Bitson,Bitson,Gestión Interna,Organización con @cuberti. Soporte instalación nueva SGS & SCA a @abrunacci.,,lcolombo,120.0
125,2017-07-25 14:00:00,2017-07-25 17:00:00,Bitson,Bitson,Desarrollo,Refactor SCA,,ddebonis,180.0
126,2017-07-25 14:00:00,2017-07-25 17:00:00,Bitson,Bitson,Gestión Interna,,,cuberti,180.0
127,2017-07-25 13:36:00,2017-07-25 17:35:00,Aptage,Aptage,Operativo,,,nespino,239.0
128,2017-07-25 13:00:00,2017-07-25 14:00:00,ECSA,Sigas SCA,Presupuesto,Nuevo dashboard,,ddebonis,60.0
129,2017-07-25 12:00:00,2017-07-25 13:00:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
130,2017-07-25 10:00:00,2017-07-25 12:00:00,ECSA,Sigas SCA,Desarrollo,Nuevo dashboard,,ddebonis,120.0
131,2017-07-25 10:00:00,2017-07-25 18:13:00,Bitson,Bitson,Operativo,,,abrunacci,493.0
132,2017-07-25 09:15:00,2017-07-25 10:15:00,Bitson,Bitson,Gestión Comercial,,,hbrunacci,60.0
133,2017-07-24 23:00:00,2017-07-24 01:00:00,Bitson,Bitson,Operativo,,,abrunacci,-1320.0
134,2017-07-24 19:00:00,2017-07-24 19:30:00,Bitson,Bitson,Gestión Interna,Capacitación @acuervo.,,lcolombo,30.0
135,2017-07-24 18:05:00,2017-07-24 19:00:00,Bitson,Bitson,Gestión Interna,Revisión mails @cuberti. Verificación cobro de Betterez. Ayuda a @abrunacci con Vagrant y VirtualBox,,lcolombo,55.0
136,2017-07-24 17:50:00,2017-07-24 18:05:00,SanyoJafep,Magento SanyoJafep,Operativo,Actualización de configuración de SMTP. Probando con puerto 587 y funcionó.,,lcolombo,15.0
137,2017-07-24 17:40:00,2017-07-24 17:50:00,ECSA,Servidores,Operativo,Problema en La Rural con el Servidor de San Luis. Assertion Error.... sin solución.,,lcolombo,10.0
138,2017-07-24 17:26:00,2017-07-24 20:02:00,Aptage,Aptage,Operativo,,,nespino,156.0
139,2017-07-24 17:10:00,2017-07-24 17:40:00,SanyoJafep,Magento SanyoJafep,Operativo,Intento de conexión SMTP.,,lcolombo,30.0
140,2017-07-24 17:00:00,2017-07-24 17:10:00,Bitson,Bitson,Gestión Interna,Capacitación @acuervo.,,lcolombo,10.0
141,2017-07-24 16:00:00,2017-07-24 17:00:00,Bitson,Bitson,Reunion,Reunión semanal.,,lcolombo,60.0
142,2017-07-24 15:00:00,2017-07-24 16:00:00,Bitson,Bitson,Reunion,Charla con Neto Licursi de Cambá.,,lcolombo,60.0
143,2017-07-24 14:30:00,2017-07-24 17:00:00,Bitson,Bitson,Gestión Interna,"Reunion semanal, reunion con Neto que no hicimos nada.",,ddebonis,150.0
144,2017-07-24 14:30:00,2017-07-24 15:00:00,Bitson,Bitson,Reunion,Reunión semanal.,,lcolombo,30.0
145,2017-07-24 14:30:00,2017-07-24 17:00:00,Bitson,Bitson,Gestión Interna,,,nespino,150.0
146,2017-07-24 14:30:00,2017-07-24 19:30:00,Bitson,Bitson,Operativo,,,abrunacci,300.0
147,2017-07-24 14:00:00,2017-07-24 14:30:00,Bitson,Bitson,Gestión Interna,Cálculo de retiros semanales.,,lcolombo,30.0
148,2017-07-24 13:30:00,2017-07-24 18:30:00,Bitson,Bitson,Gestión Comercial,,,hbrunacci,300.0
149,2017-07-24 13:00:00,2017-07-24 14:00:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
150,2017-07-24 10:00:00,2017-07-24 13:00:00,Bitson,Bitson,Capacitación,GraphQL,,ddebonis,180.0
151,2017-07-24 08:00:00,2017-07-24 10:00:00,ECSA,Sigas SCA,Testing,"SCA - pruebas de dashboard, errores",,ddebonis,120.0
152,2017-07-23 21:00:00,2017-07-23 23:00:00,ECSA,Sigas SCA,Instalación,"implementacion de Dashboard
Verificación de problemas.",,hbrunacci,120.0
153,2017-07-21 18:34:00,2017-07-21 21:18:00,Aptage,Aptage,Operativo,,,nespino,164.0
154,2017-07-21 18:20:00,2017-07-21 20:00:00,Bitson,Bitson,Operativo,,,abrunacci,100.0
155,2017-07-21 17:45:00,2017-07-21 19:15:00,Bitson,Kairos,Operativo,Actualización de Wiki de instalación de Tótem.,,lcolombo,90.0
156,2017-07-21 17:07:00,2017-07-21 18:09:00,Aptage,Aptage,Operativo,,,nespino,62.0
157,2017-07-21 16:55:00,2017-07-21 17:45:00,Bitson,Bitson,Operativo,Cleanup GitLab repos.,,lcolombo,50.0
158,2017-07-21 16:23:00,2017-07-21 16:52:00,Aptage,Aptage,Operativo,,,nespino,29.0
159,2017-07-21 15:13:00,2017-07-21 16:21:00,Bitson,Bitson,Gestión Interna,,,nespino,68.0
160,2017-07-21 15:00:00,2017-07-21 16:55:00,Bitson,Bitson,Reunion,Reunión con Fer Claverino.,,lcolombo,115.0
161,2017-07-21 14:30:00,2017-07-21 16:30:00,Bitson,Bitson,Gestión Interna,Reunion con Fernando Claverino,,ddebonis,120.0
162,2017-07-21 14:30:00,2017-07-21 15:00:00,Bitson,Bitson,Gestión Interna,Setup oficina. Impresión Capacitación ágil. Actualización Wiki Tótem.,,lcolombo,30.0
163,2017-07-21 14:03:00,2017-07-21 15:12:00,Aptage,Aptage,Operativo,,,nespino,69.0
164,2017-07-21 13:15:00,2017-07-21 13:45:00,Bitson,Bitson,Operativo,Instalación gitlab-ci-multi-runner en Alsina.,,lcolombo,30.0
165,2017-07-21 13:00:00,2017-07-21 14:30:00,Bitson,Bitson,Capacitación,,,ddebonis,90.0
166,2017-07-21 12:00:00,2017-07-21 13:00:00,Bitson,Bitson,Almuerzo,,,ddebonis,60.0
167,2017-07-21 11:30:00,2017-07-21 12:15:00,Bitson,Bitson,Operativo,Actualización VM SIGAS@Alsina (192.168.1.11) para instalación de GitLab Runner.,,lcolombo,45.0
168,2017-07-21 11:15:00,2017-07-21 11:30:00,Bitson,Bitson,Operativo,Configuraciń y activación de OmniAuth en GitLab.,,lcolombo,15.0
169,2017-07-21 11:00:00,2017-07-21 17:00:00,Bitson,Bitson,Operativo,,,abrunacci,360.0
170,2017-07-21 10:45:00,2017-07-21 11:15:00,Bitson,Bitson,Operativo,Actualización datos servers OVH en Keeweb.,,lcolombo,30.0
171,2017-07-21 10:00:00,2017-07-21 10:45:00,Bitson,Bitson,Operativo,Actualización de datos de VMs @ Alsina en KeeWeb.,,lcolombo,45.0
172,2017-07-21 09:15:00,2017-07-21 16:00:00,Bitson,Kairos,Instalación,"Implementacion de Totem en Osmedica Gerli
prueba de sistema completa
",,hbrunacci,405.0
173,2017-07-21 08:00:00,2017-07-21 12:00:00,Bitson,Bitson,Desarrollo,Refactor SCA,,ddebonis,240.0
174,2017-07-20 20:00:00,2017-07-20 20:50:00,Kairos - Totem,Osmedica,Operativo,Empaque.,,lcolombo,50.0
175,2017-07-20 18:13:00,2017-07-20 20:40:00,Aptage,Aptage,Operativo,,,nespino,147.0
176,2017-07-20 17:00:00,2017-07-20 20:00:00,Kairos - Totem,Osmedica,Operativo,Instalación Tótem. Explicación @acuervo.,,lcolombo,180.0
177,2017-07-20 16:38:00,2017-07-20 18:10:00,Aptage,Aptage,Operativo,,,nespino,92.0
178,2017-07-20 15:00:00,2017-07-20 18:00:00,Bitson,Bitson,Desarrollo,,,ddebonis,180.0
179,2017-07-20 15:00:00,2017-07-20 17:00:00,Kairos - Totem,Osmedica,Operativo,Pruebas pre-instalación.,,lcolombo,120.0
180,2017-07-20 14:30:00,2017-07-20 15:00:00,Bitson,Bitson,Almuerzo,,,ddebonis,30.0
181,2017-07-20 13:30:00,2017-07-20 16:22:00,Aptage,Aptage,Operativo,,,nespino,172.0
182,2017-07-20 12:15:00,2017-07-20 19:00:00,Bitson,Bitson,Gestión Comercial,"Prueba dashboard
Pruebas Cise
Pruebas Totem
",,hbrunacci,405.0
183,2017-07-20 10:05:00,2017-07-20 18:30:00,Bitson,Bitson,Operativo,,,abrunacci,505.0
184,2017-07-20 10:00:00,2017-07-20 14:30:00,Bitson,Bitson,Desarrollo,Refactor SCA,,ddebonis,270.0
185,2017-07-19 19:15:00,2017-07-19 20:17:00,ECSA,Banfield,Reparación de errores,,,nespino,62.0
186,2017-07-19 17:50:00,2017-07-19 20:00:00,Bitson,Bitson,Operativo,Intentando instalar Docker Registry en GitLab.,,lcolombo,130.0
187,2017-07-19 16:15:00,2017-07-19 19:00:00,ECSA,Sigas SCA,Operativo,Preparación de AC2001 para probar el dashboard,,hbrunacci,165.0
188,2017-07-19 16:00:00,2017-07-19 17:50:00,Bitson,Bitson,Operativo,Actualización GitLab 9.3 a 9.4 fixeando el clonado vía HTTPS.,,lcolombo,110.0
189,2017-07-19 15:00:00,2017-07-19 16:00:00,Bitson,Bitson,Gestión Interna,"Ejecución de retiros semanales. Cambio de esquema de firmas en Credicoop, ahora firma AB en vez de FG. Aún falta que activen el usuario de DD.",,lcolombo,60.0
190,2017-07-19 14:20:00,2017-07-19 15:00:00,Bitson,Bitson,Gestión Interna,Intento fallido de ejecución de retiros semanales. El Credicoop me bloquea la tarjeta de coordenadas de FG. ,,lcolombo,40.0
191,2017-07-19 12:20:00,2017-07-19 12:40:00,SanyoJafep,Magento SanyoJafep,Operativo,Configuración de nuevo SMTP en el server.,,lcolombo,20.0
192,2017-07-19 12:00:00,2017-07-19 15:30:00,Bitson,Bitson,Desarrollo,Refactor SCA,,ddebonis,210.0
193,2017-07-19 10:30:00,2017-07-19 18:00:00,Bitson,Bitson,Operativo,,,abrunacci,450.0
194,2017-07-19 10:00:00,2017-07-19 11:40:00,Bitson,Bitson,Operativo,Limpieza servidores OVH. Actualización .ssh/config y KeeWeb.,,lcolombo,100.0
195,2017-07-19 09:25:00,2017-07-19 11:00:00,Bitson,Bitson,Gestión Comercial,"Coordinar LaRenga
Presupuesto Camba
Enviar y pedir datos para elcondominio.com",,hbrunacci,95.0
196,2017-07-19 08:00:00,2017-07-19 12:00:00,ECSA,Sigas SCA,Desarrollo,Dashboard,,ddebonis,240.0
197,2017-07-18 19:00:00,2017-07-18 21:00:00,Bitson,Bitson,Capacitación,"meetarmy 2.3
Usando Wiresahrk como herramienta de diagnóstico.
TCP/IP Stack.",,lcolombo,120.0
198,2017-07-18 16:15:00,2017-07-18 18:20:00,Bitson,Bitson,Operativo,"Mantenimiento de VM en SRV2, intento con GitLab.",,lcolombo,125.0
199,2017-07-18 16:14:00,2017-07-18 17:05:00,Bitson,Bitson,Capacitación,,,nespino,51.0
200,2017-07-18 15:40:00,2017-07-18 16:15:00,Bitson,Bitson,Gestión Interna,Setup oficina. Lectura de mails. Informe de FIT.,,lcolombo,35.0
201,2017-07-18 15:02:00,2017-07-18 16:14:00,Aptage,Aptage,Operativo,,,nespino,72.0
202,2017-07-18 14:32:00,2017-07-18 14:43:00,ECSA,Banfield,Operativo,,,nespino,11.0
203,2017-07-18 14:00:00,2017-07-18 15:40:00,Bitson,Bitson,Gestion Contable,"Visita al Credicoop, cambio de autoridades y depósito de cheques de ECSA",,lcolombo,100.0
204,2017-07-18 13:51:00,2017-07-18 14:19:00,Aptage,Aptage,Operativo,,,nespino,28.0
